面积表格, ,,
编号,面积,,公顷
188,585.8926,5.858926,5.858926
189,413.2799,4.132799,4.132799
190,340.5904,3.405904,3.405904
191,236.1256,2.361256,2.361256
192,289.7017,2.897017,2.897017
193,612.0898,6.120898,6.120898
194,387.3024,3.873024,3.873024
195,640.4809,6.404809,6.404809
196,827.3048,8.273048,8.273048
197,246.808,2.46808,2.46808
198,305.2717,3.052717,3.052717
199,450.7018,4.507018,4.507018
200,230.1243,2.301243,2.301243
201,954.7215,9.547215,9.547215
202,1014.0031,10.140031,10.140031
,,,250.59831
203,275.1941,2.751941,2.751941
204,1005.7506,10.057506,10.057506
205,96.8513,0.968513,0.968513
206,545.0426,5.450426,5.450426
207,510.263,5.10263,5.10263
208,495.2366,4.952366,4.952366
209,498.2667,4.982667,4.982667
210,494.009,4.94009,4.94009
211,428.9991,4.289991,4.289991
212,452.3875,4.523875,4.523875
213,742.1688,7.421688,7.421688
214,461.0343,4.610343,4.610343
215,418.6986,4.186986,4.186986
216,421.6992,4.216992,4.216992
217,1043.9443,10.439443,10.439443
218,338.1879,3.381879,3.381879
219,354.4245,3.544245,3.544245
220,571.6452,5.716452,5.716452
221,719.6753,7.196753,7.196753
222,447.5977,4.475977,4.475977
223,473.9274,4.739274,4.739274
224,1016.4126,10.164126,10.164126
225,321.3996,3.213996,3.213996
226,352.3095,3.523095,3.523095
227,1908.1126,19.081126,19.081126
228,628.8831,6.288831,6.288831
229,638.369,6.38369,6.38369
230,1555.5087,15.555087,15.555087
231,482.7073,4.827073,4.827073
232,509.7292,5.097292,5.097292
,,,182.084353
233,153.0572,1.530572,1.530572
234,328.7117,3.287117,3.287117
235,336.056,3.36056,3.36056
236,432.1904,4.321904,4.321904
237,185.8588,1.858588,1.858588
238,240.8747,2.408747,2.408747
239,194.5252,1.945252,1.945252
240,494.3045,4.943045,4.943045
241,258.4838,2.584838,2.584838
242,197.0732,1.970732,1.970732
243,253.0328,2.530328,2.530328
244,276.5821,2.765821,2.765821
245,263.1561,2.631561,2.631561
246,285.514,2.85514,2.85514
247,341.0399,3.410399,3.410399
248,366.1366,3.661366,3.661366
249,204.4966,2.044966,2.044966
250,232.2752,2.322752,2.322752
251,409.7174,4.097174,4.097174
252,228.1249,2.281249,2.281249
253,186.5354,1.865354,1.865354
254,181.4924,1.814924,1.814924
255,421.1681,4.211681,4.211681
256,300.5522,3.005522,3.005522
257,201.4698,2.014698,2.014698
258,222.315,2.22315,2.22315
259,364.4226,3.644226,3.644226
260,772.5363,7.725363,7.725363
261,211.4726,2.114726,2.114726
262,139.8375,1.398375,1.398375
263,340.8595,3.408595,3.408595
264,266.3788,2.663788,2.663788
265,292.6043,2.926043,2.926043
266,559.5088,5.595088,5.595088
267,252.3257,2.523257,2.523257
268,275.775,2.75775,2.75775
269,217.5915,2.175915,2.175915
270,174.4142,1.744142,1.744142
271,199.9921,1.999921,1.999921
272,119.9093,1.199093,1.199093
273,126.0783,1.260783,1.260783
274,232.7766,2.327766,2.327766
,,,117.412271
